state,action,value
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",0,0.21535413660902447
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",1,-0.044869529823639745
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",2,0.3293998957938427
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",3,0.16583974714608266
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",0,1.319293909109187
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",1,1.0919025346175615
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",2,0.8761010602013475
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.5, 0.4, 2.0, 2.0]",3,1.1768690626702407
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",0,1.8486625903722138
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",1,1.7936195516903892
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",2,1.4898276442391216
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.5, 0.0, 4.0, 2.0]",3,1.2021988541127444
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 4.0, 2.0]",0,0.46407717955949057
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 4.0, 2.0]",1,0.4069796689237867
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 4.0, 2.0]",2,1.1221353607817415
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 4.0, 2.0]",3,0.26575444225799205
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 3.0, 2.0]",0,0.9388949675477993
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 3.0, 2.0]",1,1.004322063598187
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 3.0, 2.0]",2,1.4077712810167156
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.0, 3.0, 2.0]",3,1.4300536711980596
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 4.0, 2.0]",0,1.043666575906191
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 4.0, 2.0]",1,1.1353845898379644
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 4.0, 2.0]",2,0.88572058454043
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 4.0, 2.0]",3,0.8955514477894663
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 3.0, 2.0]",0,0.33637165686383064
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 3.0, 2.0]",1,0.09992362005019309
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 3.0, 2.0]",2,0.4163053681222936
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 3.0, 2.0]",3,1.1352794979623086
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 2.0, 2.0]",0,0.1536175863868881
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 2.0, 2.0]",1,0.19802190071100068
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 2.0, 2.0]",2,1.018896431024988
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 2.0, 2.0]",3,0.14486627739568742
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",0,0.08578614826275716
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",1,-0.1427317366984327
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",2,-0.09667982683753731
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",3,-0.12488873719300041
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 0.0, 2.0]",0,-0.26484156307239226
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 0.0, 2.0]",1,-0.3066667655600224
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 0.0, 2.0]",2,-0.29547694313666034
"[0.0, 0.3, 0.5, 0.4, 0.5, 0.0, 0.4, 0.0, 2.0]",3,-0.26742677833508155
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",0,-0.015291098207634066
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",1,-0.0738753828581016
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",2,0.18688555833844195
"[0.0, 0.0, 0.5, 0.4, 0.5, 0.0, 0.4, 1.0, 2.0]",3,-0.014550421154468304
